URL;Código de respuesta;Error de Google Noticias;Detectado;;;
;Categoría;Plataforma;Último rastreo;;;
http://m.futbolred.com/champions-league/creemos-en-el-milagro-aunque-no-depende-de-nosotros-filipe-luis+16873992;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/selecciones-nacionales/contra-chile-sera-un-gran-partido-con-equipos-de-gran-nivel-bauza+16843099;404;;26/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/vamos-a-meternos-en-la-liga-confio-en-el-grupo-que-tengo-gamero+16829998;404;;26/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/seleccion-colombia/estoy-muy-contento-por-lo-que-he-hecho-a-nivel-personal-farid-diaz+16715866;404;;17/03/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/mundo/latinoamerica/todo-mi-amor-y-mis-fuerzas-para-ustedes-hija-de-chavez/12636864/1;404;;01/11/2017;No se encuentra;Ordenadores;12/04/2018
http://m.futbolred.com/liga-bbva/barcelona-vencio-3-0-a-las-palmas-en-partido-jugado-a-puerta-cerrada-+16867758;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-bbva/con-james-entre-los-convocados-real-madrid-revolucionara-la-titular+16845821;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/otras-ligas-de-futbol/no-estamos-en-japon-de-vacaciones-cristiano-ronaldo+16773061;404;;28/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/lista-la-programacion-para-la-ida-de-los-cuartos-de-final-de-liga+16606645;404;;05/03/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/selecciones-nacionales/el-presidente-de-afa-no-tiene-idea-del-futbol-es-sindicalistabauza+16849201;404;;26/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/otras-ligas-de-futbol/cinco-colombianos-pueden-ser-campeones-en-europa-este-fin-de-semana+16851552;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/tolima-le-apostaria-a-los-penaltis-en-la-gran-final-de-la-liga-ii-2016+16775050;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/selecciones-nacionales/alerta-en-espana-la-fifa-podria-excluirla-del-mundial-de-rusia+16874997;404;;25/03/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/curiosidades/descubra-la-alineacion-y-fortalezas-de-la-seleccion-colombia-de-robots+16092017;404;;22/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/torneo-aguila/quindio-vencio-2-1-a-atletico-y-toma-un-respiro-en-el-torneo-de-la-b+16865877;404;;07/03/2018;No se encuentra;Ordenadores;13/04/2018
http://m.futbolred.com/selecciones-nacionales/en-la-afa-no-hay-una-estructura-organizativa-dijo-jorge-valdano+16679192;404;;27/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/selecciones-nacionales/un-tanto-de-kalinic-le-dio-el-triunfo-1-0-a-croacia-sobre-ucrania+16843636;404;;18/03/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/seleccion-colombia/la-agenda-del-fin-de-semana-de-los-jugadores-de-la-seleccion-colombia+16827046;404;;18/03/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/copa-libertadores/empezamos-desde-cero-no-podemos-vivir-de-la-historia-rueda+16840249;404;;04/03/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/copa-libertadores/asi-le-ha-ido-a-clubes-colombianos-en-los-repechajes-de-libertadores+16500009;404;;18/03/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/torneo-aguila/en-un-juego-de-toma-y-dame-real-cartagena-y-america-empataron-2-2+16714113;404;;18/03/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/otras-ligas-de-futbol/gremio-elimino-al-pachuca-de-oscar-murillo-del-mundial-de-clubes+16874763;404;;04/03/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/millonarios-inicia-trabajos-este-martes-para-segundo-semestre-del-ano+16619326;404;;18/03/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/copa-libertadores/si-santa-fe-no-pierde-el-orden-puede-sumar-en-brasil-costas+16850131;404;;03/03/2018;No se encuentra;Ordenadores;14/04/2018
